,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
_id,1,3,2099,2101,2109,2081,1343,2102,1054,2104,2106,2108,2110,2112,2097,2114,2116,2118,2120,2122
Category,Neighbourhood Information,Population,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income
Topic,Neighbourhood Information,Population and dwellings,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015
Characteristic,Neighbourhood Number,"Population, 2016","$10,000 to $14,999","$100,000 to $124,999","$125,000 to $149,999","$15,000 to $19,999","$150,000 to $199,999","$20,000 to $24,999","$200,000 and over","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$5,000 to $9,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999"
West Humber-Clairville,1,33312,395,2340,1475,590,1320,730,310,865,870,960,940,980,295,1905,1875,1650,1450,1210
Westminster-Branson,35,26274,655,1440,815,1730,880,1140,305,1250,1135,1110,1085,1050,380,1850,1635,1390,1225,960
Weston,113,17992,925,1010,550,1340,550,975,175,995,950,850,855,755,540,1290,1050,810,680,595
Weston-Pelham Park,91,11098,510,885,545,495,425,465,80,350,375,385,370,360,395,585,580,535,515,485
Wexford/Maryvale,119,27917,575,1965,1220,940,1235,1035,330,980,1135,1035,1100,945,285,1820,1610,1400,1210,1050
Willowdale East,51,50434,1520,3775,2385,1785,3280,1655,1605,1960,1705,1780,1780,1795,1295,3425,3125,2875,2540,2075
Willowdale West,37,16936,515,1265,875,1215,1330,695,640,645,600,555,565,535,440,930,875,840,795,650
Willowridge-Martingrove-Richview,7,22156,310,1755,1170,600,1580,770,655,825,755,825,835,760,165,1435,1295,1155,1065,870
Woburn,137,53485,1370,3145,1740,2330,1510,1730,430,1980,1945,2010,2030,1835,925,3630,2950,2555,2140,1715
Woodbine Corridor,64,12541,525,1080,910,640,1320,570,610,415,445,380,410,390,250,655,615,520,555,485
Woodbine-Lumsden,60,7865,215,775,580,395,625,325,210,280,250,270,280,255,125,535,440,445,430,380
Wychwood,94,14349,370,950,680,800,1165,705,610,515,490,515,505,450,245,900,790,695,605,525
Yonge-Eglinton,100,11817,285,925,670,365,1565,385,1110,385,420,465,435,420,210,845,790,670,530,485
Yonge-St.Clair,97,12528,375,1150,785,440,1855,480,1380,470,495,545,590,575,245,1130,920,865,675,630
York University Heights,27,27593,690,1525,845,1060,765,1080,195,1105,1240,1215,1165,1095,450,2015,1715,1330,1180,950
Yorkdale-Glen Park,31,14804,240,985,625,445,815,520,325,515,590,610,585,515,135,970,815,725,585,505
