_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,ADDRESS_POINT_ID,ADDRESS_NUMBER,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,CENTRELINE_ID,geometry
651,651,7274128,MONSEIGNEUR DE CHARBONNEL CATHOLIC SECONDARY SCHOOL,Conseil scolaire de district catholique Centre-Sud,110 DREWRY AVE,7274128,110,110 Drewry Ave,M2M 1C8,North York,Toronto,Mgr-De-Charbonnel,7274121,MULTIPOINT (-79.4236071352384 43.7866244564501)
652,652,498533,MONSIGNER FRASIER OUR LADY OF MOUNT CARMEL SCHOOL BUILDING,Toronto Catholic District School Board,270 CHEROKEE BLVD,498533,270,270 Cherokee Blvd,M2H 3B9,North York,Toronto,Our Lady Of Mount Carmel Catholic School,30062480,MULTIPOINT (-79.3368020983138 43.7966139259622)
653,653,839707,MONSIGNOR FRASER COLLEGE - ANNEX CAMPUS,Toronto Catholic District School Board,700 MARKHAM ST,839707,700,700 Markham St,M6G 2M3,former Toronto,Toronto,MSGR Fraser College - Annex Campus,1142809,MULTIPOINT (-79.4137512495481 43.6672550541736)
654,654,7753848,MONSIGNOR FRASER COLLEGE - ISABELLA CAMPUS,Toronto Catholic District School Board,146 ISABELLA ST,7753848,146,146 Isabella St,M4Y 1P6,former Toronto,Toronto,MSGR Fraser College - Isabella Campus,7753839,MULTIPOINT (-79.3769589372981 43.6697491633956)
655,655,7472039,MONSIGNOR FRASER COLLEGE - MIDLAND CAMPUS,Toronto Catholic District School Board,2900 MIDLAND AVE,7472039,2900,2900 Midland Ave,M1S 3K8,Scarborough,Toronto,Msgr.  Fraser College Midland Campus,7472038,MULTIPOINT (-79.2857174919641 43.8010691646555)
656,656,7472039,MONSIGNOR FRASER COLLEGE - MIDLAND NORTH CAMPUS,Toronto Catholic District School Board,2900 MIDLAND AVE,7472039,2900,2900 Midland Ave,M1S 3K8,Scarborough,Toronto,Msgr.  Fraser College Midland Campus,7472038,MULTIPOINT (-79.2857174919641 43.8010691646555)
657,657,11901997,MONSIGNOR FRASER COLLEGE - MIDTOWN,Toronto Catholic District School Board,36 EGLINTON AVE W,11901997,36,36 Eglinton Ave W,M4R 1A1,former Toronto,Toronto,MSGR Fraser College - Midtown Campus,11901981,MULTIPOINT (-79.399960754018 43.7065950023056)
658,658,4570683,MONSIGNOR FRASER COLLEGE - NORFINCH CAMPUS,Toronto Catholic District School Board,45 NORFINCH DR,4570683,45,45 Norfinch Dr,M3N 1W8,North York,Toronto,MSGR Fraser College - Norfinch Campus,4570685,MULTIPOINT (-79.5270429515191 43.7578095274804)
659,659,865004,MONSIGNOR FRASER COLLEGE - ST MARTIN,Toronto Catholic District School Board,55 SALISBURY AVE,865004,55,55 Salisbury Ave,M4X 1C5,former Toronto,Toronto,St. Martin Catholic School,20037875,MULTIPOINT (-79.3644258453696 43.6671745214295)
660,660,8192155,MONSIGNOR JOHN CORRIGAN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,100 ROYALCREST RD,8192155,100,100 Royalcrest Rd,M9V 5B4,Etobicoke,Toronto,Msgr. John Corrigan Catholic School,8192154,MULTIPOINT (-79.6050136936641 43.7515700507883)
661,661,9667012,MONSIGNOR PERCY JOHNSON CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,2170 KIPLING AVE,9667012,2170,2170 Kipling Ave,M9W 4K9,Etobicoke,Toronto,Msgr. Percy Johnson Catholic High School,9666999,MULTIPOINT (-79.5720168856081 43.7206946675157)
662,662,8407358,MONTCREST SCHOOL,,4 MONTCREST BLVD,8407358,4,4 Montcrest Blvd,M4K 1J7,former Toronto,Toronto,,30098074,MULTIPOINT (-79.3575714495209 43.6731667603806)
663,663,7994686,MONTESSORI JEWISH DAY  ,,55 YEOMANS RD,7994686,55,55 Yeomans Rd,M3H 3J7,North York,Toronto,Beth David Bnai Israel Synagogue,7994687,MULTIPOINT (-79.4398398274914 43.7492508686707)
664,664,844204,MONTROSE JUNIOR PUBLIC SCHOOL,Toronto District School Board,301 MONTROSE AVE,844204,301,301 Montrose Ave,M6G 3G9,former Toronto,Toronto,Montrose Public School,1144176,MULTIPOINT (-79.4188437208257 43.6586815852248)
665,665,20037846,MORRISH PUBLIC SCHOOL,Toronto District School Board,61 CANMORE BLVD,20037846,61,61 Canmore Blvd,M1C 3T7,Scarborough,Toronto,Morrish Public School,6444773,MULTIPOINT (-79.1792700314566 43.7931879168947)
666,666,779906,MORSE STREET JUNIOR PUBLIC SCHOOL,Toronto District School Board,180 CARLAW AVE,779906,180,180 Carlaw Ave,M4M 2R9,former Toronto,Toronto,Morse Street Junior Public School,14038008,MULTIPOINT (-79.3401666940738 43.6601669225421)
667,667,1027151,MOTHER CABRINI CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,720 RENFORTH DR,1027151,720,720 Renforth Dr,M9C 2N9,Etobicoke,Toronto,Mother Cabrini Catholic School,910405,MULTIPOINT (-79.5860339131245 43.6636644387222)
668,668,64159,MOUNTVIEW ALTERNATIVE JUNIOR SCHOOL,Toronto District School Board,569 JANE ST,64159,569,569 Jane St,M6S 4A3,York,Toronto,Runnymede Collegiate Institute,9402,MULTIPOINT (-79.4898113825241 43.6635322654948)
669,669,544255,MUIRHEAD PUBLIC SCHOOL,Toronto District School Board,25 MUIRHEAD RD,544255,25,25 Muirhead Rd,M2J 3W3,North York,Toronto,Muirhead Public School,437939,MULTIPOINT (-79.3374501774332 43.7788840209192)
670,670,10924126,NATIONAL BALLET SCHOOL,,400 JARVIS ST,10924126,400,400 Jarvis St,M4Y 2G6,former Toronto,Toronto,National Ballet School,20058417,MULTIPOINT (-79.3775832929039 43.663598141657)
671,671,762114,NATIVE LEARNING CENTRE,Toronto District School Board,83 ALEXANDER ST,762114,83,83 Alexander St,M4Y 1B7,former Toronto,Toronto,Church Street Public School,14023586,MULTIPOINT (-79.3791781653545 43.6636084257427)
672,672,341419,NATIVE LEARNING CENTRE EAST,Toronto District School Board,145 GUILDWOOD PKWY,341419,145,145 Guildwood Pkwy,M1E 1P5,Scarborough,Toronto,Sir Wilfrid Laurier Collegiate Institute,110088,MULTIPOINT (-79.1969914784391 43.7470335031665)
673,673,3049684,NATIVITY OF OUR LORD CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,35 SAFFRON CRES,3049684,35,35 Saffron Cres,M9C 3T8,Etobicoke,Toronto,Nativity of Our Lord Catholic School,3049685,MULTIPOINT (-79.575506466774 43.6534070908518)
674,674,11915543,NEIL MCNEIL CATHOLIC HIGH SCHOOL,Toronto Catholic District School Board,127 VICTORIA PARK AVE,11915543,127,127 Victoria Park Ave,M4E 3S2,Scarborough,Toronto,Neil McNeil,30077402,MULTIPOINT (-79.2828981618609 43.6792997723282)
