_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
719,719,8609165,O'CONNOR PUBLIC SCHOOL,None,EP,Toronto District School Board,1665 O'CONNOR DR,English Public,8609165,1665,O'Connor Dr,1665 O'Connor Dr,M4A 1W5,North York,Toronto,O'Connor Public School,102001,8609163,1665,None,,None,274,"{""coordinates"": [[320581.4971938795, 4841857.100403911]], ""type"": ""MultiPoint""}"
720,720,853889,OGDEN JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,33 PHOEBE ST,English Public,853889,33,Phoebe St,33 Phoebe St,M5T 1A8,former Toronto,Toronto,Ogden Public School,102001,20089930,33,None,,None,4188,"{""coordinates"": [[313260.1793271186, 4834456.690891328]], ""type"": ""MultiPoint""}"
721,721,990939,OLIVET NEW CHURCH  ,None,PR,None,279 BURNHAMTHORPE RD,Private,990939,279,Burnhamthorpe Rd,279 Burnhamthorpe Rd,M9B 1Z6,Etobicoke,Toronto,None,109001,911255,279,None,,None,1266,"{""coordinates"": [[301180.54747605056, 4834456.003161148]], ""type"": ""MultiPoint""}"
722,722,507995,ONE DIRECTION ACADEMY SECONDARY SCHOOL,None,PR,None,885 DON MILLS RD,Private,507995,885,Don Mills Rd,885 Don Mills Rd,M3C 1V9,North York,Toronto,None,104008,444376,885,None,,None,100,"{""coordinates"": [[317749.23871854955, 4842794.798301654]], ""type"": ""MultiPoint""}"
723,723,20258267,ONTARIO ACADEMY OF INTERNATIONAL EDUCATION,None,PR,None,4 LANSING SQ,Private,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,None,104008,438287,4,None,,None,6007,"{""coordinates"": [[318870.665644494, 4848249.695304258]], ""type"": ""MultiPoint""}"
724,724,800592,ONTARIO ACADEMY OF TECHNOLOGY SECONDARY SCHOOL,None,PR,None,55 EGLINTON AVE E,Private,800592,55,Eglinton Ave E,55 Eglinton Ave E,M4P 1G8,former Toronto,Toronto,Canadian Unitarian Council,109001,1138300,55,None,,None,125,"{""coordinates"": [[313175.54948514194, 4840777.146765422]], ""type"": ""MultiPoint""}"
725,725,13501978,ONTARIO INTERNATIONAL COLLEGE,None,PR,None,501 CONSUMERS RD,Private,13501978,501,Consumers Rd,501 Consumers Rd,M2J 5E2,North York,Toronto,None,104008,438663,501,None,,None,5264,"{""coordinates"": [[318906.144629578, 4847874.02437033]], ""type"": ""MultiPoint""}"
726,726,515118,ORAYNU CHILDREN'S SCHOOL,None,PR,None,131 FENN AVE,Private,515118,131,Fenn Ave,131 Fenn Ave,M2P 1X7,North York,Toronto,St Andrew's Middle School,102001,441207,131,None,,None,5575,"{""coordinates"": [[313632.2275166666, 4845742.664870262]], ""type"": ""MultiPoint""}"
727,727,9947932,ORDE STREET JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,18 ORDE ST,English Public,9947932,18,Orde St,18 Orde St,M5T 1N7,former Toronto,Toronto,Orde Street Junior Public School,102001,30106991,18,None,,None,4112,"{""coordinates"": [[313490.19430782984, 4835413.939715195]], ""type"": ""MultiPoint""}"
728,728,7323683,ORIOLE PARK JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,80 BRAEMAR AVE,English Public,7323683,80,Braemar Ave,80 Braemar Ave,M5P 2L4,former Toronto,Toronto,Oriole Park Junior Public School,102001,7323668,80,None,,None,3050,"{""coordinates"": [[312078.7786690892, 4840294.222876337]], ""type"": ""MultiPoint""}"
729,729,9486678,OSSINGTON OLD ORCHARD JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,380 OSSINGTON AVE,English Public,9486678,380,Ossington Ave,380 Ossington Ave,M6J 3A5,former Toronto,Toronto,Ossington/Old Orchard Public School,102001,14019831,380,None,,None,4125,"{""coordinates"": [[311043.7137282036, 4834753.551888288]], ""type"": ""MultiPoint""}"
730,730,388154,OUR LADY OF FATIMA CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,3176 ST CLAIR AVE E,English Separate,388154,3176,St Clair Ave E,3176 St Clair Ave E,M1L 1V6,Scarborough,Toronto,Our Lady Of Fatima Catholic School,102003,112339,3176,None,,None,339,"{""coordinates"": [[321432.2570265226, 4841153.993509728]], ""type"": ""MultiPoint""}"
731,731,313294,OUR LADY OF GRACE CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,121 BRIMWOOD BLVD,English Separate,313294,121,Brimwood Blvd,121 Brimwood Blvd,M1V 1E5,Scarborough,Toronto,Our Lady Of Grace Catholic School,102003,103854,121,None,,None,7438,"{""coordinates"": [[322898.01002902933, 4852525.184450568]], ""type"": ""MultiPoint""}"
732,732,10906432,OUR LADY OF GUADALUPE CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,3105 DON MILLS RD,English Separate,10906432,3105,Don Mills Rd,3105 Don Mills Rd,M2J 3C2,North York,Toronto,Our Lady of Guadalupe,102003,10906429,3105,None,,None,100,"{""coordinates"": [[316602.8950867887, 4849999.706044789]], ""type"": ""MultiPoint""}"
733,733,10923487,OUR LADY OF LOURDES CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,444 SHERBOURNE ST,English Separate,10923487,444,Sherbourne St,444 Sherbourne St,M4X 1K2,former Toronto,Toronto,Our Lady Of Lourdes Catholic School,102003,10923460,444,None,,None,4391,"{""coordinates"": [[314905.6440747322, 4836239.806535701]], ""type"": ""MultiPoint""}"
734,734,9530460,OUR LADY OF PEACE CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,70 MATTICE AVE,English Separate,9530460,70,Mattice Ave,70 Mattice Ave,M9B 1T6,Etobicoke,Toronto,Our Lady Of Peace Catholic School,102003,9530456,70,None,,None,2072,"{""coordinates"": [[301486.37541299325, 4834063.185224516]], ""type"": ""MultiPoint""}"
