_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
985,665,532,IRVING W. CHAPLEY PARK,Park,"Ball Diamond, Basketball Court, Outdoor Dry Pad, Pickleball Court, Playground, Tennis Court",205 WILMINGTON AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/665/index.html,"{""coordinates"": [[308405.75346933986, 4846868.697787912]], ""type"": ""MultiPoint""}"
986,5,276,DERRYDOWNS PARK,Park,"Firepit, Washroom",271 DERRYDOWN RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/5/index.html,"{""coordinates"": [[304210.88519472914, 4846037.375029813]], ""type"": ""MultiPoint""}"
987,2742,25123,REGAN PARK,Park,Playground,9310 SHEPPARD AVE E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2742/index.html,"{""coordinates"": [[330530.2736617026, 4851916.082380772]], ""type"": ""MultiPoint""}"
988,235,909,RUNNYMEDE PARK,Park,"Ball Diamond, Playground, Sports Field, Tennis Court",221 RYDING AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/235/index.html,"{""coordinates"": [[306529.89756976423, 4836482.126680901]], ""type"": ""MultiPoint""}"
989,2592,1503,SEELEY GREENBELT,Park,None,23 SEELEY DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2592/index.html,"{""coordinates"": [[305480.53693876107, 4844660.353246619]], ""type"": ""MultiPoint""}"
990,1027,796,PALACE PIER PARK,Park,None,2025 LAKE SHORE BLVD W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1027/index.html,"{""coordinates"": [[306923.294410555, 4832481.702386273]], ""type"": ""MultiPoint""}"
991,186,877,RITCHIE AVENUE PARKETTE,Park,"Outdoor Ping Pong/Table Tennis, Playground",77 RITCHIE AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/186/index.html,"{""coordinates"": [[308914.76310978, 4834879.3039136315]], ""type"": ""MultiPoint""}"
992,1003,3,ACACIA PARK,Park,Playground,68 LILAC AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1003/index.html,"{""coordinates"": [[301480.18359438045, 4842218.393770492]], ""type"": ""MultiPoint""}"
993,734,825,PLUNKETT PARK,Park,Playground,188 PLUNKETT RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/734/index.html,"{""coordinates"": [[299035.32013382344, 4847001.066973171]], ""type"": ""MultiPoint""}"
994,2636,1023,TALWOOD PARK,Park,Playground,36 TALWOOD DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2636/index.html,"{""coordinates"": [[316426.4349916204, 4844465.2820341755]], ""type"": ""MultiPoint""}"
